# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
6.29461 0.962332 0     -2.71736 -3.23674 0     1     0     812.617 -1050.29 0     
5.88183 1.76948 0     7.96075 -2.97347 0     1     0     105.049 -1367.85 0     
4.84307 1.85414 0     -1.40557 2.74122 0     1     0     51.9991 136.828 0     
3.64042 4.68528 0     -1.86727 -7.15091 0     1     0     287.452 -38.5996 0     
6.45253 10.1376 0     -3.58507 6.99522 0     1     0     266.687 588.606 0     
5.36552 3.51263 0     -5.05296 -1.97064 0     1     0     84.6745 169.749 0     
3.19113 5.63068 0     -6.50752 8.40228 0     1     0     -602.799 -457.606 0     
5.04882 8.69905 0     12.1043 5.68637 0     1     0     156.569 446.729 0     
6.29076 6.21469 0     -2.37846 1.58258 0     1     0     104.093 505.563 0     
5.50767 10.8985 0     6.5683 1.5601 0     1     0     165.254 385.584 0     
13.0448 14.447 0     -3.16688 -5.02371 0     1     0     195.864 197.574 0     
2.04542 15.1111 0     -0.0908921 -13.065 0     1     0     352.455 514.499 0     
1.72541 13.1281 0     -0.178067 7.82983 0     1     0     733.855 352.641 0     
9.79501 13.0793 0     4.31214 1.3536 0     1     0     -825.212 -68.7774 0     
6.83299 15.2731 0     2.34083 2.75375 0     1     0     -970.304 1511.9 0     
1.00745 18.793 0     -7.27106 9.19402 0     1     0     505.771 -313.918 0     
7.4364 9.92052 0     1.20089 1.12836 0     1     0     -326.197 -1613.46 0     
8.37824 18.5505 0     -3.31973 9.57833 0     1     0     -18.0217 -113.628 0     
8.86957 12.3673 0     -3.27307 -3.13117 0     1     0     1321.85 1004.9 0     
13.6128 11.8911 0     -6.85344 4.04182 0     1     0     204.531 -628.962 0     
